103,Southport,Portage-la-prairie,Canada,YPG,CYPG
104,Pitt Meadows,Pitt Meadows,Canada,,CYPK
105,Pickle Lake,Pickle Lake,Canada,YPL,CYPL
106,Port Menier,Port Menier,Canada,YPN,CYPN
107,Peterborough,Peterborough,Canada,YPQ,CYPQ
108,Prince Rupert,Prince Pupert,Canada,YPR,CYPR
109,Fort Chipewyan,Fort Chipewyan,Canada,YPY,CYPY
110,Muskoka,Muskoka,Canada,YQA,CYQA
111,Quebec Jean Lesage Intl,Quebec,Canada,YQB,CYQB
112,Red Deer Regional,Red Deer Industrial,Canada,YQF,CYQF
113,Windsor,Windsor,Canada,YQG,CYQG
114,Watson Lake,Watson Lake,Canada,YQH,CYQH
115,Kenora,Kenora,Canada,YQK,CYQK
116,Lethbridge,Lethbridge,Canada,YQL,CYQL
117,Greater Moncton Intl,Moncton,Canada,YQM,CYQM
119,Comox,Comox,Canada,YQQ,CYQQ
120,Regina Intl,Regina,Canada,YQR,CYQR
121,Thunder Bay,Thunder Bay,Canada,YQT,CYQT
122,Grande Prairie,Grande Prairie,Canada,YQU,CYQU
123,Yorkton Muni,Yorkton,Canada,YQV,CYQV
124,North Battleford,North Battleford,Canada,YQW,CYQW
125,Gander Intl,Gander,Canada,YQX,CYQX
126,Sydney,Sydney,Canada,YQY,CYQY
127,Quesnel,Quesnel,Canada,YQZ,CYQZ
128,Resolute Bay,Resolute,Canada,YRB,CYRB
129,Riviere Du Loup,Riviere Du Loup,Canada,YRI,CYRI
130,Roberval,Roberval,Canada,YRJ,CYRJ
131,Rocky Mountain House,Rocky Mountain House,Canada,YRM,CYRM
132,Rankin Inlet,Rankin Inlet,Canada,YRT,CYRT
133,Sudbury,Sudbury,Canada,YSB,CYSB
134,Sherbrooke,Sherbrooke,Canada,YSC,CYSC
135,Saint John,St. John,Canada,YSJ,CYSJ
136,Fort Smith,Fort Smith,Canada,YSM,CYSM
137,Nanisivik,Nanisivik,Canada,YSR,CYSR
138,Summerside,Summerside,Canada,YSU,CYSU
139,Sachs Harbour,Sachs Harbour,Canada,YSY,CYSY
140,Cape Dorset,Cape Dorset,Canada,YTE,CYTE
141,Thompson,Thompson,Canada,YTH,CYTH
142,Trenton,Trenton,Canada,YTR,CYTR
143,Timmins,Timmins,Canada,YTS,CYTS
144,City Centre,Toronto,Canada,YTZ,CYTZ
145,Tuktoyaktuk,Tuktoyaktuk,Canada,YUB,CYUB
146,Pierre Elliott Trudeau Intl,Montreal,Canada,YUL,CYUL
147,Repulse Bay,Repulse Bay,Canada,YUT,CYUT
148,Hall Beach,Hall Beach,Canada,YUX,CYUX
149,Rouyn Noranda,Rouyn,Canada,YUY,CYUY
150,La Ronge,La Ronge,Canada,YVC,CYVC
151,Vermilion,Vermillion,Canada,YVG,CYVG
152,Qikiqtarjuaq,Broughton Island,Canada,YVM,CYVM
153,Val D Or,Val D'or,Canada,YVO,CYVO
154,Kuujjuaq,Quujjuaq,Canada,YVP,CYVP
155,Norman Wells,Norman Wells,Canada,YVQ,CYVQ
156,Vancouver Intl,Vancouver,Canada,YVR,CYVR
157,Buffalo Narrows,Buffalo Narrows,Canada,YVT,CYVT
158,Wiarton,Wiarton,Canada,YVV,CYVV
159,Petawawa,Petawawa,Canada,YWA,CYWA
160,Winnipeg Intl,Winnipeg,Canada,YWG,CYWG
161,Wabush,Wabush,Canada,YWK,CYWK
162,Williams Lake,Williams Lake,Canada,YWL,CYWL
163,Wrigley,Wrigley,Canada,YWY,CYWY
164,Canadian Rockies Intl,Cranbrook,Canada,YXC,CYXC
165,Edmonton City Centre,Edmonton,Canada,YXD,CYXD
166,Saskatoon J G Diefenbaker Intl,Saskatoon,Canada,YXE,CYXE
167,Medicine Hat,Medicine Hat,Canada,YXH,CYXH
168,Fort St John,Fort Saint John,Canada,YXJ,CYXJ
169,Sioux Lookout,Sioux Lookout,Canada,YXL,CYXL
170,Pangnirtung,Pangnirtung,Canada,YXP,CYXP
171,Timiskaming Rgnl,Earlton,Canada,YXR,CYXR
172,Prince George,Prince George,Canada,YXS,CYXS
173,Terrace,Terrace,Canada,YXT,CYXT
174,London,London,Canada,YXU,CYXU
175,Abbotsford,Abbotsford,Canada,YXX,CYXX
176,Whitehorse Intl,Whitehorse,Canada,YXY,CYXY
177,North Bay,North Bay,Canada,YYB,CYYB
178,Calgary Intl,Calgary,Canada,YYC,CYYC
179,Smithers,Smithers,Canada,YYD,CYYD
180,Fort Nelson,Fort Nelson,Canada,YYE,CYYE
181,Penticton,Penticton,Canada,YYF,CYYF
182,Charlottetown,Charlottetown,Canada,YYG,CYYG
183,Taloyoak,Spence Bay,Canada,YYH,CYYH
184,Victoria Intl,Victoria,Canada,YYJ,CYYJ
185,Lynn Lake,Lynn Lake,Canada,YYL,CYYL
186,Swift Current,Swift Current,Canada,YYN,CYYN
187,Churchill,Churchill,Canada,YYQ,CYYQ
188,Goose Bay,Goose Bay,Canada,YYR,CYYR
189,St Johns Intl,St. John's,Canada,YYT,CYYT
190,Kapuskasing,Kapuskasing,Canada,YYU,CYYU
191,Armstrong,Armstrong,Canada,YYW,CYYW
192,Mont Joli,Mont Joli,Canada,YYY,CYYY
193,Lester B Pearson Intl,Toronto,Canada,YYZ,CYYZ
194,Downsview,Toronto,Canada,YZD,CYZD
195,Gore Bay Manitoulin,Gore Bay,Canada,YZE,CYZE
196,Yellowknife,Yellowknife,Canada,YZF,CYZF
197,Slave Lake,Slave Lake,Canada,YZH,CYZH
198,Sandspit,Sandspit,Canada,YZP,CYZP
199,Chris Hadfield,Sarnia,Canada,YZR,CYZR
200,Port Hardy,Port Hardy,Canada,YZT,CYZT
201,Whitecourt,Whitecourt,Canada,YZU,CYZU
202,Sept Iles,Sept-iles,Canada,YZV,CYZV
203,Teslin,Teslin,Canada,YZW,CYZW
204,Greenwood,Greenwood,Canada,YZX,CYZX
205,Faro,Faro,Canada,ZFA,CZFA
206,Fort Mcpherson,Fort Mcpherson,Canada,ZFM,CZFM
207,Blida,Blida,Algeria,,DAAB
208,Bou Saada,Bou Saada,Algeria,,DAAD
209,Soummam,Bejaja,Algeria,BJA,DAAE
210,Houari Boumediene,Algier,Algeria,ALG,DAAG
211,Tiska,Djanet,Algeria,DJG,DAAJ
212,Boufarik,Boufarik,Algeria,QFD,DAAK
213,Reggane,Reggan,Algeria,,DAAN
214,Illizi Takhamalt,Illizi,Algeria,VVZ,DAAP
215,Ain Oussera,Ain Oussera,Algeria,,DAAQ
216,Tamanrasset,Tamanrasset,Algeria,TMR,DAAT
217,Jijel,Jijel,Algeria,GJL,DAAV
218,Mecheria,Mecheria,Algeria,,DAAY
219,Relizane,Relizane,Algeria,,DAAZ
220,Annaba,Annaba,Algeria,AAE,DABB
221,Mohamed Boudiaf Intl,Constantine,Algeria,CZL,DABC
222,Cheikh Larbi Tebessi,Tebessa,Algeria,TEE,DABS
224,Hassi R Mel,Tilrempt,Algeria,HRM,DAFH
225,Bou Chekif,Tiaret,Algeria,TID,DAOB
226,Bou Sfer,Bou Sfer,Algeria,,DAOE
227,Tindouf,Tindouf,Algeria,TIN,DAOF
228,Ech Cheliff,Ech-cheliff,Algeria,QAS,DAOI
229,Tafaraoui,Oran,Algeria,TAF,DAOL
230,Zenata,Tlemcen,Algeria,TLM,DAON
231,Es Senia,Oran,Algeria,ORN,DAOO
232,Sidi Bel Abbes,Sidi Bel Abbes,Algeria,,DAOS
233,Ghriss,Ghriss,Algeria,MUW,DAOV
234,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria,AZR,DAUA
235,Biskra,Biskra,Algeria,BSK,DAUB
236,El Golea,El Golea,Algeria,ELG,DAUE
237,Noumerat,Ghardaia,Algeria,GHA,DAUG
238,Oued Irara,Hassi Messaoud,Algeria,HME,DAUH
239,In Salah,In Salah,Algeria,INZ,DAUI
240,Sidi Mahdi,Touggourt,Algeria,TGR,DAUK
241,Laghouat,Laghouat,Algeria,LOO,DAUL
242,Timimoun,Timimoun,Algeria,TMX,DAUT
243,Ouargla,Ouargla,Algeria,OGX,DAUU
244,In Amenas,Zarzaitine,Algeria,IAM,DAUZ
245,Cadjehoun,Cotonou,Benin,COO,DBBB
246,Ouagadougou,Ouagadougou,Burkina Faso,OUA,DFFD
247,Bobo Dioulasso,Bobo-dioulasso,Burkina Faso,BOY,DFOO
248,Kotoka Intl,Accra,Ghana,ACC,DGAA
249,Tamale,Tamale,Ghana,TML,DGLE
250,Wa,Wa,Ghana,,DGLW
251,Sunyani,Sunyani,Ghana,NYI,DGSN
252,Takoradi,Takoradi,Ghana,TKD,DGTK
253,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire,ABJ,DIAP
254,Bouake,Bouake,Cote d'Ivoire,BYK,DIBK
255,Daloa,Daloa,Cote d'Ivoire,DJO,DIDL
256,Korhogo,Korhogo,Cote d'Ivoire,HGO,DIKO
257,Man,Man,Cote d'Ivoire,MJC,DIMN
258,San Pedro,San Pedro,Cote d'Ivoire,SPY,DISP
259,Yamoussoukro,Yamoussoukro,Cote d'Ivoire,ASK,DIYO
260,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA
261,Akure,Akure,Nigeria,AKR,DNAK
262,Benin,Benin,Nigeria,BNI,DNBE
263,Calabar,Calabar,Nigeria,CBQ,DNCA
264,Enugu,Enugu,Nigeria,ENU,DNEN
265,Gusau,Gusau,Nigeria,QUS,DNGU
266,Ibadan,Ibadan,Nigeria,IBA,DNIB
267,Ilorin,Ilorin,Nigeria,ILR,DNIL
268,Yakubu Gowon,Jos,Nigeria,JOS,DNJO
269,Kaduna,Kaduna,Nigeria,KAD,DNKA
270,Mallam Aminu Intl,Kano,Nigeria,KAN,DNKN
271,Maiduguri,Maiduguri,Nigeria,MIU,DNMA
272,Makurdi,Makurdi,Nigeria,MDI,DNMK
273,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM
274,Minna New,Minna,Nigeria,MXJ,DNMN
275,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO
276,Sadiq Abubakar Iii Intl,Sokoto,Nigeria,SKO,DNSO
277,Yola,Yola,Nigeria,YOL,DNYO
278,Zaria,Zaria,Nigeria,ZAR,DNZA
279,Maradi,Maradi,Niger,MFQ,DRRM
280,Diori Hamani,Niamey,Niger,NIM,DRRN
281,Tahoua,Tahoua,Niger,THZ,DRRT
282,Manu Dayak,Agadez,Niger,AJY,DRZA
283,Dirkou,Dirkou,Niger,,DRZD
284,Diffa,Diffa,Niger,,DRZF
285,Zinder,Zinder,Niger,ZND,DRZR
286,Habib Bourguiba Intl,Monastir,Tunisia,MIR,DTMB
287,Carthage,Tunis,Tunisia,TUN,DTTA
288,Sidi Ahmed Air Base,Bizerte,Tunisia,,DTTB
289,Remada,Remada,Tunisia,,DTTD
290,Gafsa,Gafsa,Tunisia,GAF,DTTF
291,Gabes,Gabes,Tunisia,GAE,DTTG
292,Borj El Amri,Bordj El Amri,Tunisia,,DTTI
293,Zarzis,Djerba,Tunisia,DJE,DTTJ
294,El Borma,El Borma,Tunisia,EBM,DTTR
295,Thyna,Sfax,Tunisia,SFA,DTTX
296,Nefta,Tozeur,Tunisia,TOE,DTTZ
297,Niamtougou International,Niatougou,Togo,LRL,DXNG
298,Gnassingbe Eyadema Intl,Lome,Togo,LFW,DXXX
299,Deurne,Antwerp,Belgium,ANR,EBAW
300,Beauvechain,Beauvechain,Belgium,,EBBE
301,Kleine Brogel,Kleine Brogel,Belgium,,EBBL
302,Brussels Natl,Brussels,Belgium,BRU,EBBR
303,Bertrix,Bertrix,Belgium,,EBBX
304,Brussels South,Charleroi,Belgium,CRL,EBCI
305,Chievres Ab,Chievres,Belgium,,EBCV
306,Koksijde,Koksijde,Belgium,,EBFN
307,Florennes,Florennes,Belgium,,EBFS
308,Wevelgem,Kortrijk-vevelgem,Belgium,QKT,EBKT
309,Liege,Liege,Belgium,LGG,EBLG
310,Oostende,Ostend,Belgium,OST,EBOS
311,Zutendaal,Zutendaal,Belgium,,EBSL
312,Sint Truiden,Sint-truiden,Belgium,,EBST
313,Saint Hubert Mil,St.-hubert,Belgium,,EBSU
314,Ursel,Ursel,Belgium,,EBUL
315,Weelde,Weelde,Belgium,,EBWE
316,Zoersel,Zoersel,Belgium,,EBZR
317,Bautzen,Bautzen,Germany,BBJ,EDAB
318,Altenburg Nobitz,Altenburg,Germany,AOC,EDAC
319,Dessau,Dessau,Germany,,EDAD
320,Eisenhuttenstadt,Eisenhuettenstadt,Germany,,EDAE
6891,Putnam County Airport,Greencastle,United States,4I7,\N
322,Grossenhain,Suhl,Germany,,EDAK
323,Merseburg,Muehlhausen,Germany,,EDAM
324,Halle Oppin,Halle,Germany,,EDAQ
325,Riesa Gohlis,Riesa,Germany,,EDAU
326,Rechlin Larz,Rechlin-laerz,Germany,,EDAX
327,Strausberg,Strausberg,Germany,,EDAY
328,Schonhagen,Schoenhagen,Germany,,EDAZ
329,Barth,Barth,Germany,BBH,EDBH
330,Jena Schongleina,Jena,Germany,,EDBJ
331,Kyritz,Kyritz,Germany,,EDBK
332,Magdeburg,Magdeburg,Germany,,EDBM
333,Rothenburg Gorlitz,Rothenburg/ol,Germany,,EDBR
334,Anklam,Anklam,Germany,,EDCA
335,Cottbus Drewitz,Cottbus,Germany,,EDCD
336,Kamenz,Kamenz,Germany,,EDCM
337,Schonefeld,Berlin,Germany,SXF,EDDB
338,Dresden,Dresden,Germany,DRS,EDDC
339,Erfurt,Erfurt,Germany,ERF,EDDE
340,Frankfurt Main,Frankfurt,Germany,FRA,EDDF
341,Munster Osnabruck,Munster,Germany,FMO,EDDG
342,Hamburg,Hamburg,Germany,HAM,EDDH
343,Tempelhof,Berlin,Germany,THF,EDDI
344,Koln Bonn,Cologne,Germany,CGN,EDDK
345,Dusseldorf,Duesseldorf,Germany,DUS,EDDL
346,Franz Josef Strauss,Munich,Germany,MUC,EDDM
347,Nurnberg,Nuernberg,Germany,NUE,EDDN
348,Leipzig Halle,Leipzig,Germany,LEJ,EDDP
349,Saarbrucken,Saarbruecken,Germany,SCN,EDDR
350,Stuttgart,Stuttgart,Germany,STR,EDDS
351,Tegel,Berlin,Germany,TXL,EDDT
352,Hannover,Hannover,Germany,HAJ,EDDV
353,Neuenland,Bremen,Germany,BRE,EDDW
354,Egelsbach,Egelsbach,Germany,,EDFE
355,Frankfurt Hahn,Hahn,Germany,HHN,EDFH
356,Mannheim City,Mannheim,Germany,MHG,EDFM
357,Allendorf Eder,Allendorf,Germany,,EDFQ
358,Worms,Worms,Germany,,EDFV
359,Mainz Finthen,Mainz,Germany,,EDFZ
360,Eisenach Kindel,Eisenach,Germany,,EDGE
361,Siegerland,Siegerland,Germany,,EDGS
362,Hamburg Finkenwerder,Hamburg,Germany,XFW,EDHI
363,Kiel Holtenau,Kiel,Germany,KEL,EDHK
364,Lubeck Blankensee,Luebeck,Germany,LBC,EDHL
365,Dahlemer Binz,Dahlemer Binz,Germany,,EDKV
366,Meinerzhagen,Meinerzhagen,Germany,,EDKZ
367,Arnsberg Menden,Arnsberg,Germany,ZCA,EDLA
368,Essen Mulheim,Essen,Germany,ESS,EDLE
369,Bielefeld,Bielefeld,Germany,,EDLI
370,Monchengladbach,Moenchengladbach,Germany,MGL,EDLN
371,Paderborn Lippstadt,Paderborn,Germany,PAD,EDLP
372,Stadtlohn Vreden,Stadtlohn,Germany,,EDLS
373,Dortmund,Dortmund,Germany,DTM,EDLW
374,Augsburg,Augsburg,Germany,AGB,EDMA
375,Biberach An Der Riss,Biberach,Germany,,EDMB
376,Eggenfelden,Eggenfelden,Germany,,EDME
377,Mindelheim Mattsies,Mindelheim,Germany,,EDMN
378,Oberpfaffenhofen,Oberpfaffenhofen,Germany,OBF,EDMO
379,Straubing,Straubing,Germany,,EDMS
380,Vilshofen,Vilshofen,Germany,,EDMV
381,Leutkirch Unterzeil,Leutkirch,Germany,,EDNL
382,Friedrichshafen,Friedrichshafen,Germany,FDH,EDNY
383,Schwerin Parchim,Parchim,Germany,SZW,EDOP
384,Stendal Borstel,Stendal,Germany,ZSN,EDOV
385,Aalen Heidenheim Elchingen,Aalen-heidenheim,Germany,,EDPA
386,Bayreuth,Bayreuth,Germany,BYU,EDQD
387,Burg Feuerstein,Burg Feuerstein,Germany,,EDQE
388,Hof Plauen,Hof,Germany,HOQ,EDQM
389,Hassfurt Schweinfurt,Hassfurt,Germany,,EDQT
390,Koblenz Winningen,Koblenz,Germany,ZNV,EDRK
391,Trier Fohren,Trier,Germany,ZQF,EDRT
392,Speyer,Speyer,Germany,ZQC,EDRY
393,Zweibrucken,Zweibruecken,Germany,,EDRZ
394,Donaueschingen Villingen,Donaueschingen,Germany,ZQL,EDTD
395,Freiburg,Freiburg,Germany,,EDTF
396,Mengen Hohentengen,Mengen,Germany,,EDTM
397,Schwabisch Hall,Schwaebisch Hall,Germany,,EDTY
398,Finsterwalde Schacksdorf,Soest,Germany,,EDUS
399,Braunschweig Wolfsburg,Braunschweig,Germany,BWE,EDVE
400,Kassel Calden,Kassel,Germany,KSF,EDVK
401,Hildesheim,Hildesheim,Germany,,EDVM
402,Bremerhaven,Bremerhaven,Germany,BRV,EDWB
403,Emden,Emden,Germany,EME,EDWE
404,Leer Papenburg,Leer,Germany,,EDWF
405,Wilhelmshaven Mariensiel,Wilhelmshaven,Germany,WVN,EDWI
406,Borkum,Borkum,Germany,BMK,EDWR
407,Norderney,Norderney,Germany,NRD,EDWY
408,Flensburg Schaferhaus,Flensburg,Germany,FLF,EDXF
409,Rendsburg Schachtholm,Rendsburg,Germany,,EDXR
410,Westerland Sylt,Westerland,Germany,GWT,EDXW
411,Amari,Armari Air Force Base,Estonia,,EEEI
412,Kardla,Kardla,Estonia,KDL,EEKA
413,Kuressaare,Kuressaare,Estonia,URE,EEKE
414,Parnu,Parnu,Estonia,EPU,EEPU
415,Tallinn,Tallinn-ulemiste International,Estonia,TLL,EETN
416,Tartu,Tartu,Estonia,TAY,EETU
417,Enontekio,Enontekio,Finland,ENF,EFET
418,Eura,Eura,Finland,,EFEU
419,Halli,Halli,Finland,KEV,EFHA
420,Helsinki Malmi,Helsinki,Finland,HEM,EFHF
421,Helsinki Vantaa,Helsinki,Finland,HEL,EFHK
422,Hameenkyro,Hameenkyro,Finland,,EFHM
423,Hanko,Hanko,Finland,,EFHN
424,Hyvinkaa,Hyvinkaa,Finland,HYV,EFHV
425,Kiikala,Kikala,Finland,,EFIK
426,Immola,Immola,Finland,,EFIM
427,Kitee,Kitee,Finland,,EFIT
428,Ivalo,Ivalo,Finland,IVL,EFIV
429,Joensuu,Joensuu,Finland,JOE,EFJO
430,Jyvaskyla,Jyvaskyla,Finland,JYV,EFJY
431,Kauhava,Kauhava,Finland,KAU,EFKA
432,Kemi Tornio,Kemi,Finland,KEM,EFKE
433,Kajaani,Kajaani,Finland,KAJ,EFKI
434,Kauhajoki,Kauhajoki,Finland,,EFKJ
435,Kruunupyy,Kruunupyy,Finland,KOK,EFKK
436,Kemijarvi,Kemijarvi,Finland,,EFKM
437,Kuusamo,Kuusamo,Finland,KAO,EFKS
438,Kittila,Kittila,Finland,KTT,EFKT
439,Kuopio,Kuopio,Finland,KUO,EFKU
440,Lahti Vesivehmaa,Vesivehmaa,Finland,,EFLA
441,Lappeenranta,Lappeenranta,Finland,LPP,EFLP
442,Mariehamn,Mariehamn,Finland,MHQ,EFMA
443,Menkijarvi,Menkijarvi,Finland,,EFME
444,Mikkeli,Mikkeli,Finland,MIK,EFMI
445,Nummela,Nummela,Finland,,EFNU
446,Oulu,Oulu,Finland,OUL,EFOU
447,Piikajarvi,Piikajarvi,Finland,,EFPI
448,Pori,Pori,Finland,POR,EFPO
449,Pudasjarvi,Pudasjarvi,Finland,,EFPU
450,Pyhasalmi,Pyhasalmi,Finland,,EFPY
451,Raahe Pattijoki,Pattijoki,Finland,,EFRH
452,Rantasalmi,Rantasalmi,Finland,,EFRN
453,Rovaniemi,Rovaniemi,Finland,RVN,EFRO
454,Rayskala,Rayskala,Finland,,EFRY
455,Savonlinna,Savonlinna,Finland,SVL,EFSA
456,Selanpaa,Selanpaa,Finland,,EFSE
457,Sodankyla,Sodankyla,Finland,SOT,EFSO
458,Tampere Pirkkala,Tampere,Finland,TMP,EFTP
459,Teisko,Teisko,Finland,,EFTS
460,Turku,Turku,Finland,TKU,EFTU
461,Utti,Utti,Finland,QVY,EFUT
462,Vaasa,Vaasa,Finland,VAA,EFVA
463,Varkaus,Varkaus,Finland,VRK,EFVR
464,Ylivieska,Ylivieska-raudaskyla,Finland,,EFYL
465,Belfast Intl,Belfast,United Kingdom,BFS,EGAA
466,St Angelo,Enniskillen,United Kingdom,ENK,EGAB
467,Belfast City,Belfast,United Kingdom,BHD,EGAC
468,City of Derry,Londonderry,United Kingdom,LDY,EGAE
469,Birmingham,Birmingham,United Kingdom,BHX,EGBB
470,Coventry,Coventry,United Kingdom,CVT,EGBE
471,Leicester,Leicester,United Kingdom,,EGBG
472,Gloucestershire,Golouchestershire,United Kingdom,GLO,EGBJ
474,Wolverhampton,Halfpenny Green,United Kingdom,,EGBO
475,Kemble,Pailton,United Kingdom,,EGBP
476,Turweston,Turweston,United Kingdom,,EGBT
477,Wellesbourne Mountford,Wellesbourne,United Kingdom,,EGBW
478,Manchester,Manchester,United Kingdom,MAN,EGCC
479,Manchester Woodford,Woodfort,United Kingdom,,EGCD
480,Chivenor,Chivenor,United Kingdom,,EGDC
481,St Mawgan,Newquai,United Kingdom,NQY,EGDG
482,Lyneham,Lyneham,United Kingdom,LYE,EGDL
483,Boscombe Down,Boscombe Down,United Kingdom,,EGDM
484,Culdrose,Culdrose,United Kingdom,,EGDR
485,St Athan,St. Athan,United Kingdom,,EGDX
